python_score,java_score,cpp_score,javascript_score,ml_skills,web_dev_score,dsa_score,cloud_score,data_analytics_score,database_score,aptitude_score,communication_score,coding_problems_solved,internships,projects,certifications,hackathons,cgpa,role,company_tier,salary_lpa
16.4,0.0,3.4,65.5,40.4,100.0,39.9,56.6,21.4,19.5,61.0,3.0,167,0,1,3,4,6.17,Frontend Developer,Startup,4.4
56.8,58.7,48.1,42.6,5.1,35.2,20.0,47.3,32.0,58.5,49.2,3.0,167,2,5,5,3,7.99,Software Developer,Startup,3.86
16.3,0.0,0.0,85.9,14.7,73.7,51.5,0.1,18.8,13.2,26.8,2.0,100,1,2,3,0,7.12,Frontend Developer,Startup,4.08
28.1,36.4,33.1,81.6,23.8,100.0,47.8,47.0,9.3,75.6,49.6,2.5,409,0,6,2,3,7.52,Full-Stack Developer,Product-Based,18.28
36.3,68.7,50.3,75.2,20.9,36.1,74.9,15.2,29.2,88.9,36.9,3.5,266,2,11,3,2,7.43,Backend Developer,Product-Based,13.68
57.2,32.2,8.7,99.9,33.2,82.0,32.3,20.1,37.3,52.5,67.6,3.5,252,0,4,3,3,6.95,Frontend Developer,Product-Based,11.18
60.0,19.7,74.0,32.3,17.0,38.1,43.7,94.0,10.8,63.5,73.4,3.5,268,1,5,3,3,6.37,DevOps Engineer,Service-Based,5.32
84.3,59.5,70.3,8.2,15.9,56.3,87.9,20.3,0.0,55.3,37.7,2.5,142,2,5,4,0,6.87,Software Developer,Startup,4.45
50.2,20.1,76.3,31.1,15.3,24.6,38.6,87.4,14.7,45.2,45.9,2.5,231,1,8,0,3,8.21,DevOps Engineer,Startup,3.23
70.2,65.4,52.3,59.5,35.0,21.1,58.5,33.7,33.7,46.1,51.7,3.0,191,1,5,3,1,7.42,Software Developer,Service-Based,4.41
42.8,33.0,8.5,100.0,0.0,100.0,50.7,24.4,25.9,12.5,56.9,2.5,327,1,1,0,2,6.41,Frontend Developer,Product-Based,17.37
53.4,25.2,62.5,19.4,84.0,39.2,93.8,62.1,53.8,37.5,42.3,3.0,324,3,8,2,3,9.05,ML Engineer,Service-Based,5.57
26.9,0.0,3.8,25.5,49.3,1.9,33.4,6.4,79.0,44.7,23.3,1.5,238,0,10,2,1,6.13,Data Analyst,Startup,3.88
75.9,42.7,54.9,38.1,0.0,62.8,58.7,39.4,28.2,54.0,74.6,3.0,186,2,6,1,3,6.33,Software Developer,Product-Based,16.31
63.7,81.2,58.2,26.0,26.8,56.0,75.1,54.5,40.0,68.3,58.6,2.0,363,2,3,2,4,7.97,Software Developer,Service-Based,5.26
46.6,56.0,4.7,39.0,0.0,48.0,30.3,92.4,32.4,20.3,35.5,3.0,276,0,6,3,1,8.04,DevOps Engineer,Startup,3.99
100.0,48.5,22.0,100.0,43.4,75.6,42.4,39.9,0.0,48.5,44.8,2.5,334,3,3,4,2,7.83,Full-Stack Developer,Product-Based,16.94
100.0,64.2,16.7,21.3,80.7,4.2,65.0,38.8,56.1,42.0,49.5,2.5,422,2,4,2,1,9.37,ML Engineer,Service-Based,5.41
74.0,28.0,50.1,26.0,100.0,51.2,51.8,35.6,40.2,31.8,53.6,4.0,300,1,8,7,1,7.38,ML Engineer,Service-Based,5.28
30.5,28.3,19.3,30.5,56.8,22.6,37.3,32.9,99.0,85.4,61.9,3.5,294,1,3,1,2,7.8,Data Analyst,Service-Based,4.9
63.4,55.8,5.5,93.4,26.6,100.0,44.5,48.9,24.5,93.4,58.9,3.5,370,1,7,5,1,8.12,Full-Stack Developer,Product-Based,16.08
61.4,77.3,56.6,35.5,12.6,3.4,73.2,74.4,0.0,67.7,36.8,2.5,395,2,8,2,0,7.52,Backend Developer,Service-Based,5.01
57.5,22.5,44.2,24.4,85.7,21.3,32.5,76.0,63.5,65.1,58.5,3.0,357,2,9,3,3,7.68,ML Engineer,Service-Based,5.5
71.7,56.4,30.6,44.3,6.7,44.7,36.4,45.2,13.6,77.9,45.1,2.5,182,3,4,4,0,7.7,Software Developer,Startup,4.54
47.6,69.1,54.9,29.1,47.1,60.8,61.0,35.5,28.8,23.2,48.2,2.5,216,3,7,2,2,8.56,Software Developer,Product-Based,15.92
97.6,76.4,62.1,62.3,9.6,64.6,67.1,52.1,21.4,83.7,68.5,4.5,367,1,5,4,4,10.0,Software Developer,Fintech,25.5
60.7,22.2,26.0,6.6,35.4,0.0,37.2,31.6,81.3,98.3,31.2,1.5,351,2,3,4,1,7.19,Data Analyst,Startup,4.86
44.4,28.2,24.6,62.4,34.8,100.0,47.2,17.7,25.8,29.8,27.5,2.5,350,0,5,1,2,7.65,Frontend Developer,Product-Based,14.26
6.7,45.9,6.6,91.2,9.2,98.6,41.4,6.9,37.9,26.1,24.7,2.0,352,1,3,1,4,7.45,Frontend Developer,Startup,4.56
79.5,41.8,39.1,10.1,90.9,2.6,52.6,31.4,61.6,53.1,44.6,3.0,327,1,8,0,5,6.99,ML Engineer,Service-Based,4.84
84.9,51.3,66.0,31.0,8.8,79.5,61.6,38.9,40.7,68.9,59.6,3.5,385,2,8,5,4,8.36,Software Developer,Product-Based,15.26
56.1,80.3,68.1,40.5,21.1,65.8,70.2,61.4,0.0,58.2,69.5,3.5,398,3,5,3,1,6.98,Backend Developer,Fintech,19.31
42.2,0.0,3.5,1.2,69.6,33.2,17.6,60.5,100.0,64.2,15.3,4.0,28,2,11,4,2,7.7,Data Analyst,Service-Based,4.24
50.5,47.1,26.6,40.0,14.4,7.9,19.3,72.3,42.5,43.9,19.8,2.5,341,0,0,2,1,6.48,DevOps Engineer,Startup,4.54
74.2,40.8,16.3,27.9,89.6,24.9,59.0,74.6,67.3,37.3,57.5,3.5,312,1,4,1,4,6.96,ML Engineer,Service-Based,4.61
94.5,14.9,62.8,5.1,89.3,0.0,90.0,17.7,94.4,41.8,51.7,3.5,505,0,6,5,0,8.04,Data Scientist,Top-Tier,42.86
50.5,99.5,85.2,40.0,30.2,74.3,58.2,31.3,14.5,41.7,49.5,2.5,239,2,2,4,3,6.49,Software Developer,Product-Based,15.5
82.5,100.0,45.3,76.1,16.7,27.7,42.2,66.3,8.5,76.5,77.8,3.0,243,1,2,3,3,8.02,Backend Developer,Product-Based,18.29
88.5,29.4,47.4,17.3,100.0,32.2,40.9,26.0,31.9,54.1,38.9,1.5,541,1,7,3,2,8.27,ML Engineer,Service-Based,4.81
65.2,50.8,20.9,25.7,0.0,18.6,16.3,100.0,25.9,58.1,41.6,2.5,272,1,6,0,1,6.97,DevOps Engineer,Startup,3.75
66.0,79.5,53.7,58.8,21.2,9.4,48.1,32.4,3.2,70.8,68.3,3.5,408,1,4,2,1,7.24,Software Developer,Service-Based,5.05
32.4,71.4,39.0,100.0,0.0,81.2,47.7,62.8,10.9,43.9,68.5,3.0,396,1,5,2,2,8.33,Full-Stack Developer,Product-Based,15.46
38.4,73.3,54.7,60.4,22.2,27.5,86.5,32.1,24.5,43.2,46.3,2.5,443,0,1,5,2,7.14,Software Developer,Product-Based,17.77
31.2,12.7,13.4,41.6,65.4,36.9,35.0,34.4,78.5,73.0,33.7,2.5,428,1,5,3,1,6.86,Data Analyst,Service-Based,5.19
91.6,63.2,31.2,54.7,36.3,52.9,77.9,41.4,0.0,100.0,55.6,3.0,424,2,11,2,3,8.04,Backend Developer,Fintech,24.43
98.4,45.7,29.6,26.5,100.0,11.2,44.3,26.9,33.7,9.9,55.3,3.0,208,1,4,0,3,7.65,ML Engineer,Service-Based,4.55
77.0,30.1,25.5,48.9,93.8,23.2,61.9,61.1,88.3,31.7,63.5,3.0,367,3,6,4,4,8.13,Data Scientist,Product-Based,21.4
100.0,86.2,55.9,61.2,3.8,48.6,55.5,54.6,39.9,58.3,76.2,3.0,206,2,10,2,1,8.26,Backend Developer,Product-Based,18.62
50.9,81.7,52.8,57.6,4.0,37.1,78.0,28.3,56.1,52.8,57.6,3.5,80,0,9,2,5,7.37,Software Developer,Service-Based,4.49
100.0,69.0,74.4,37.2,78.8,29.9,54.9,73.6,85.1,33.3,78.6,4.0,378,2,5,2,3,8.73,ML Engineer,Product-Based,16.63
41.6,53.4,37.0,35.5,35.9,0.0,23.3,39.6,100.0,97.8,45.9,2.0,105,2,5,2,0,7.97,Data Analyst,Startup,3.85
40.0,54.1,33.7,73.2,0.0,82.1,66.2,59.0,26.4,45.2,57.9,2.5,310,1,3,3,2,7.09,Full-Stack Developer,Product-Based,13.72
86.9,15.1,14.6,11.6,0.0,30.9,43.3,14.9,91.2,79.3,26.1,2.0,131,1,1,3,1,6.13,Data Analyst,Startup,4.33
57.3,60.2,66.4,41.9,38.3,92.9,59.7,37.7,31.8,92.6,61.1,3.0,303,1,11,6,1,7.63,Software Developer,Product-Based,16.8
56.7,79.7,18.4,65.6,6.3,67.8,52.2,74.2,25.8,60.5,52.2,2.0,323,1,14,3,1,7.51,Full-Stack Developer,Product-Based,17.39
47.0,28.6,36.5,44.6,100.0,19.7,63.8,36.5,63.1,57.1,66.5,3.5,280,1,7,2,1,7.97,Data Scientist,Service-Based,5.19
100.0,50.8,55.4,75.4,18.6,53.1,45.9,42.7,21.6,77.7,73.0,4.5,374,2,5,4,2,8.08,Software Developer,Product-Based,20.1
54.5,0.0,12.0,48.5,38.4,0.0,21.0,37.9,99.8,54.9,36.2,2.0,0,2,7,0,3,7.1,Data Analyst,Startup,4.07
38.7,45.8,8.8,51.4,6.6,28.6,40.1,85.3,35.6,46.5,55.3,1.5,430,0,3,3,2,7.51,DevOps Engineer,Service-Based,4.83
58.2,40.0,34.9,31.7,67.6,12.7,19.3,0.0,87.5,74.8,51.4,2.5,156,1,6,2,3,7.58,Data Scientist,Startup,4.41
63.2,44.5,20.4,34.5,91.6,43.1,46.0,33.7,84.7,49.5,65.6,2.0,168,2,10,3,2,7.87,Data Scientist,Service-Based,5.0
71.3,90.9,59.8,61.6,31.8,93.4,32.4,22.6,51.5,53.7,71.8,3.5,293,3,11,2,3,7.41,Software Developer,Product-Based,16.92
100.0,71.8,52.2,54.9,15.8,70.5,48.8,58.5,11.6,51.2,50.8,3.0,239,1,6,1,3,7.99,Backend Developer,Product-Based,13.05
84.5,59.6,63.6,99.2,26.8,41.8,51.0,31.5,9.0,64.8,59.1,2.0,426,1,4,1,0,8.5,Software Developer,Product-Based,16.63
31.5,36.1,6.3,27.6,69.0,31.1,25.2,4.0,51.3,57.1,38.0,2.0,207,1,2,2,2,6.28,Data Analyst,Startup,4.6
88.7,48.7,51.9,31.5,91.1,1.6,24.5,38.4,100.0,36.3,32.6,3.5,461,2,8,6,1,7.17,ML Engineer,Service-Based,4.64
100.0,20.5,35.2,24.7,82.6,24.6,64.3,8.5,100.0,25.1,66.1,3.5,217,1,5,2,3,8.62,Data Scientist,Service-Based,5.32
67.3,62.2,70.0,23.7,0.0,62.9,94.0,46.7,24.2,54.4,55.5,2.5,341,1,5,0,2,7.73,Backend Developer,Product-Based,16.29
76.1,46.7,28.1,38.1,0.0,4.7,13.5,92.6,56.2,95.2,58.3,3.0,162,1,3,2,1,6.16,DevOps Engineer,Startup,4.77
81.9,15.1,41.3,62.0,95.3,31.2,90.3,70.3,56.9,22.0,60.6,3.0,318,2,11,3,3,7.61,ML Engineer,Product-Based,18.13
61.8,39.5,50.3,29.1,0.0,47.7,18.7,78.2,14.3,79.7,22.1,4.5,305,1,5,3,2,7.79,DevOps Engineer,Service-Based,4.64
51.0,21.3,12.6,100.0,52.0,93.5,75.2,25.7,37.1,54.8,52.2,2.5,295,1,4,2,3,8.24,Frontend Developer,Product-Based,16.95
79.4,83.6,76.4,62.7,26.3,64.3,64.5,19.1,22.1,46.6,51.0,3.0,272,0,6,3,1,8.44,Software Developer,Product-Based,17.6
62.1,57.2,37.0,36.3,35.7,33.7,62.2,47.6,20.0,71.4,33.2,3.0,282,0,8,1,2,7.61,Software Developer,Service-Based,4.97
92.4,77.3,33.8,71.2,29.5,67.5,58.6,54.1,39.1,100.0,70.8,3.0,196,1,6,3,3,7.76,Full-Stack Developer,Product-Based,18.37
53.7,70.3,72.2,31.4,4.5,65.3,60.1,21.0,38.1,51.2,64.4,2.5,370,1,7,3,4,8.72,Software Developer,Product-Based,13.89
77.4,42.3,16.6,28.6,28.9,9.3,41.1,41.7,87.5,61.9,49.2,3.0,0,1,2,2,1,7.16,Data Analyst,Startup,4.66
72.9,33.7,23.3,57.9,80.1,16.6,67.5,68.8,71.6,47.5,73.9,3.5,219,3,4,3,2,7.34,Data Scientist,Service-Based,4.31
65.7,52.0,68.3,40.8,15.9,27.1,18.9,31.6,68.4,74.1,51.4,2.5,333,0,8,4,3,7.91,Software Developer,Service-Based,4.73
60.7,73.5,72.7,36.6,0.0,49.6,82.8,10.7,37.1,72.2,27.3,2.5,267,1,3,5,2,7.27,Software Developer,Service-Based,4.51
55.4,44.2,7.3,18.9,8.2,19.3,58.1,100.0,5.0,59.4,49.8,3.0,171,0,1,2,2,7.9,DevOps Engineer,Startup,4.14
40.4,17.2,15.7,35.5,40.1,0.0,20.5,24.0,100.0,58.9,68.0,1.5,186,1,1,3,2,7.13,Data Analyst,Startup,4.19
66.4,0.5,18.4,73.1,17.7,90.3,28.5,38.8,52.5,31.6,56.2,2.0,269,2,6,2,2,6.52,Frontend Developer,Startup,4.74
78.5,87.9,47.2,29.3,14.6,31.2,45.7,61.1,11.4,46.8,34.7,2.0,294,1,7,4,1,7.85,Backend Developer,Service-Based,3.86
48.2,88.2,50.3,27.8,7.7,52.4,61.9,65.5,60.6,46.8,75.2,3.0,145,1,8,3,4,6.8,Backend Developer,Service-Based,4.57
75.1,16.5,38.4,28.0,90.2,27.8,77.8,43.4,56.4,62.2,68.9,3.5,323,2,8,2,0,8.33,ML Engineer,Service-Based,4.02
45.4,50.5,67.2,29.3,32.0,53.3,33.9,22.8,46.5,42.3,42.5,3.0,252,1,8,5,3,7.48,Software Developer,Service-Based,4.13
68.6,9.8,25.2,26.9,11.4,29.3,47.5,34.5,90.6,52.8,18.0,2.5,369,2,4,4,3,7.01,Data Analyst,Service-Based,4.69
70.0,5.2,37.9,34.0,93.2,40.1,49.9,52.0,65.3,48.0,63.0,3.5,281,0,5,4,3,8.1,Data Scientist,Service-Based,4.89
97.7,70.7,50.7,54.8,24.4,70.0,47.1,30.0,4.9,41.8,58.8,3.5,352,2,10,3,1,7.03,Software Developer,Product-Based,14.33
42.6,95.0,38.7,72.6,5.4,9.3,39.9,77.2,22.2,65.1,54.0,3.0,459,1,2,2,2,6.95,Backend Developer,Product-Based,14.9
36.1,56.4,57.2,69.0,3.4,100.0,30.1,15.1,5.1,53.1,27.3,2.5,155,1,6,2,2,7.57,Full-Stack Developer,Startup,3.62
61.6,49.9,59.6,0.0,100.0,42.7,34.8,33.5,83.3,49.9,63.0,3.5,188,2,9,3,2,6.77,ML Engineer,Service-Based,4.87
58.0,64.0,23.1,87.6,0.0,82.5,55.7,48.4,0.0,57.1,73.0,2.5,277,3,8,4,1,7.92,Full-Stack Developer,Product-Based,16.43
50.9,57.6,38.5,35.0,18.8,32.1,77.3,61.8,14.6,64.3,56.6,3.0,347,2,2,4,3,7.01,Software Developer,Service-Based,4.77
72.8,88.8,19.1,50.1,29.6,35.1,79.9,66.5,63.5,61.5,71.0,2.5,88,2,7,3,0,7.59,Backend Developer,Service-Based,4.58
51.1,81.0,7.4,94.6,10.0,80.0,64.2,51.1,30.3,82.4,55.7,3.0,216,4,9,1,1,8.35,Full-Stack Developer,Product-Based,16.62
49.4,50.5,62.7,45.2,34.2,1.5,34.8,55.3,32.5,90.2,53.2,3.0,421,0,6,1,2,6.85,Backend Developer,Service-Based,5.19
82.6,86.5,32.6,51.0,7.2,22.3,61.1,29.4,68.7,67.8,39.3,2.5,545,0,1,6,3,7.21,Software Developer,Service-Based,5.29
78.3,50.7,39.9,100.0,19.5,68.5,44.0,30.8,27.8,50.5,50.2,2.5,319,0,6,3,1,9.24,Full-Stack Developer,Product-Based,17.6
65.1,51.7,21.7,32.0,39.0,37.0,49.7,8.7,66.3,66.3,39.8,2.5,253,1,5,4,0,7.06,Data Analyst,Service-Based,4.49
64.7,99.2,30.6,32.6,0.0,13.5,56.6,43.9,56.7,69.9,67.6,3.5,485,2,9,5,2,8.15,Backend Developer,Product-Based,18.56
67.4,39.5,55.3,92.6,7.0,76.4,55.3,53.3,23.6,70.6,79.1,4.0,424,1,7,6,2,7.37,Full-Stack Developer,Product-Based,16.94
56.4,62.6,65.3,42.2,0.0,40.6,64.0,46.4,45.8,67.4,67.5,3.5,212,2,5,1,3,7.16,Backend Developer,Service-Based,4.45
68.3,0.0,30.3,2.8,49.9,26.3,17.5,30.5,94.7,60.3,32.1,1.5,82,1,4,3,1,7.0,Data Analyst,Startup,3.97
46.6,51.6,17.3,32.3,35.9,10.4,41.6,95.7,23.2,45.9,60.6,2.0,249,0,6,4,2,8.07,DevOps Engineer,Service-Based,5.21
89.5,53.8,47.6,20.4,83.7,43.1,40.3,77.6,74.0,19.8,63.9,2.0,437,1,6,6,2,7.26,ML Engineer,Product-Based,19.58
55.0,17.0,50.0,49.4,0.0,40.6,42.3,71.6,3.3,61.7,40.4,3.5,310,1,8,3,2,6.59,DevOps Engineer,Service-Based,5.7
64.3,34.3,37.0,76.3,46.6,100.0,41.6,42.3,18.7,56.9,59.0,2.5,339,2,4,4,1,8.03,Full-Stack Developer,Product-Based,17.55
76.5,37.8,26.7,21.3,21.2,30.6,23.0,86.8,13.1,42.3,23.4,2.5,130,1,7,1,0,6.96,DevOps Engineer,Startup,3.45
61.8,78.3,60.7,35.0,7.6,23.3,59.4,39.7,35.3,42.9,45.6,3.0,541,2,2,2,0,7.46,Backend Developer,Service-Based,4.68
48.7,33.2,59.8,74.5,35.3,52.3,52.5,69.5,47.0,77.5,45.3,3.0,373,0,2,3,3,7.81,Backend Developer,Product-Based,18.46
98.1,70.1,45.6,39.6,49.3,69.3,99.9,52.1,30.3,47.7,81.9,2.5,258,1,4,3,2,7.85,Backend Developer,Product-Based,18.23
56.2,48.0,23.7,12.1,5.4,46.5,37.1,74.8,32.2,63.4,52.2,2.0,151,1,6,3,2,8.26,DevOps Engineer,Startup,4.49
27.4,59.5,54.4,33.6,3.1,33.0,70.3,31.6,0.0,21.8,32.9,2.5,68,0,7,1,2,7.12,Software Developer,Startup,2.5
85.4,51.0,33.3,20.0,91.0,5.8,76.6,46.1,37.0,39.6,56.7,2.5,212,2,4,5,1,7.94,ML Engineer,Service-Based,4.39
42.3,58.3,11.8,97.0,11.8,100.0,27.1,43.4,16.5,33.8,50.9,3.0,283,3,7,4,1,6.89,Frontend Developer,Product-Based,16.3
87.8,93.7,30.4,22.0,13.0,25.6,45.2,32.5,16.6,54.2,34.8,3.0,299,0,5,5,1,7.99,Backend Developer,Service-Based,4.85
67.9,66.5,61.8,15.7,100.0,0.0,40.2,39.0,55.5,26.0,67.2,2.5,237,0,6,0,2,6.69,ML Engineer,Service-Based,5.37
67.2,51.8,50.0,62.9,35.3,67.5,99.4,49.6,21.1,75.5,67.8,3.5,262,1,6,4,2,8.43,Software Developer,Product-Based,20.4
69.6,47.6,61.0,47.2,0.0,29.5,57.6,69.0,35.0,36.0,56.6,2.0,256,1,8,1,0,7.15,Software Developer,Service-Based,4.9
28.8,9.7,37.2,83.8,0.0,66.6,48.7,38.3,5.7,0.0,43.6,2.0,397,1,2,0,1,7.06,Frontend Developer,Startup,4.4
78.8,38.1,27.7,16.3,100.0,17.8,44.4,54.0,77.9,8.1,65.6,2.5,410,0,3,2,1,8.82,ML Engineer,Service-Based,4.65
57.0,7.8,8.2,18.7,18.4,9.7,32.8,38.3,90.3,41.6,43.3,2.0,377,2,2,5,2,8.11,Data Analyst,Startup,4.13
84.2,20.5,51.6,22.5,49.6,0.0,46.7,45.6,84.0,76.9,29.9,3.0,310,1,6,1,3,8.42,Data Scientist,Service-Based,4.93
79.2,31.5,31.3,23.9,38.1,44.6,43.0,69.3,12.1,36.5,19.9,3.5,202,2,3,1,1,6.57,DevOps Engineer,Service-Based,4.34
38.8,18.6,12.5,98.3,0.0,100.0,41.3,22.6,18.4,34.3,23.9,3.5,276,2,2,3,1,7.84,Frontend Developer,Service-Based,3.52
86.8,65.2,44.4,61.8,31.4,35.1,29.3,24.0,37.2,46.0,51.4,2.5,151,2,0,3,0,8.02,Software Developer,Startup,4.77
56.7,57.5,34.2,18.5,13.0,47.8,63.3,27.5,8.0,70.9,30.0,3.0,133,0,3,4,2,7.99,Software Developer,Startup,4.31
78.7,62.5,75.2,24.4,8.2,36.3,70.9,75.1,44.0,79.0,56.5,2.0,469,0,4,5,3,8.67,Backend Developer,Fintech,25.36
67.9,22.8,31.1,34.9,100.0,23.1,76.3,28.8,95.0,72.4,68.5,4.5,229,1,8,2,3,8.97,ML Engineer,Service-Based,5.36
49.3,30.9,9.8,46.9,6.2,99.6,34.3,29.6,16.7,29.2,42.6,2.0,34,0,2,2,1,8.24,Frontend Developer,Startup,4.64
30.0,74.1,26.9,93.9,22.9,71.8,54.1,11.6,30.9,70.4,61.4,3.5,317,1,4,5,4,7.54,Full-Stack Developer,Product-Based,16.09
81.0,0.0,0.0,37.8,26.3,20.2,57.6,8.2,83.2,75.0,29.5,2.0,204,2,11,2,0,8.26,Data Analyst,Startup,3.2
64.1,71.2,38.7,39.8,40.5,0.0,83.0,61.1,3.3,55.6,71.3,2.5,353,2,3,3,1,8.35,Backend Developer,Service-Based,5.3
60.0,39.5,28.4,50.9,31.7,0.0,48.8,26.3,84.7,65.7,79.9,2.5,244,2,11,3,0,8.86,Data Analyst,Service-Based,4.66
46.4,0.0,43.6,95.3,35.2,65.8,15.4,27.3,29.1,67.3,56.8,2.5,347,0,9,2,4,7.91,Frontend Developer,Product-Based,14.94
33.9,7.4,13.4,91.1,6.7,81.1,17.5,30.4,0.0,22.7,26.2,2.0,272,2,1,5,0,7.0,Frontend Developer,Startup,4.14
53.6,18.5,56.1,62.5,0.0,6.6,30.0,72.6,34.1,41.9,69.8,3.0,334,2,3,1,1,7.81,DevOps Engineer,Product-Based,15.24
56.1,67.1,46.0,24.3,1.4,43.1,81.6,60.7,24.2,60.0,65.0,3.0,347,2,3,2,1,9.46,Backend Developer,Service-Based,5.17
51.0,76.8,17.9,22.7,50.8,10.0,25.1,87.4,40.1,58.7,34.1,2.5,238,2,6,0,3,7.68,DevOps Engineer,Startup,5.16
100.0,35.3,2.6,51.4,85.9,20.4,25.8,49.1,100.0,89.8,77.2,3.5,303,1,7,1,2,7.69,Data Scientist,Product-Based,16.11
67.7,64.9,0.0,82.0,34.6,33.2,60.3,33.9,55.5,100.0,59.8,3.5,190,1,6,2,2,7.85,Backend Developer,Product-Based,15.31
35.5,72.2,60.7,52.4,14.0,26.8,50.8,36.8,5.0,91.9,18.4,2.5,321,1,8,0,1,7.96,Software Developer,Service-Based,4.91
99.7,34.1,41.7,13.6,100.0,3.7,55.8,50.9,56.0,20.3,56.7,3.0,247,2,3,5,0,7.97,ML Engineer,Service-Based,4.86
57.9,33.4,25.5,10.7,0.0,44.9,37.8,90.1,32.2,40.1,31.5,2.5,147,0,3,4,0,6.37,DevOps Engineer,Startup,3.95
97.7,83.7,42.2,65.4,14.1,82.1,56.0,71.1,35.8,45.6,80.0,3.5,523,1,6,3,1,8.44,Full-Stack Developer,Top-Tier,56.61
70.0,70.9,67.9,28.7,16.2,33.5,44.0,53.9,40.3,100.0,64.2,1.5,319,2,6,5,3,8.98,Backend Developer,Service-Based,4.7
32.1,45.2,15.0,18.5,0.3,5.8,73.2,100.0,59.6,33.0,45.3,2.0,116,2,3,4,2,8.85,DevOps Engineer,Startup,3.14
68.6,23.6,26.7,18.4,35.0,23.1,21.5,13.4,90.0,90.7,33.4,3.0,348,0,0,3,2,8.07,Data Analyst,Service-Based,4.31
62.3,19.9,51.5,36.1,60.3,16.3,14.4,40.8,100.0,37.9,39.5,3.0,154,2,3,2,3,7.79,Data Scientist,Startup,4.43
